fecha_hora_EST,fecha_hora_UTC,temperatura_agua_C,pH,conductividad_especifica_mS_cm,presion_atmosferica_hPa,hora_del_dia,radiacion_PAR_mmol_m2_15min,turbidez_FNU_NTU,oxigeno_disuelto_mg_L
2022-08-01T17:45,2022-08-01T22:45+00:00,33.2,7.4,6.4,1020,17.75,263.6,10,5
2022-08-01T18:00,2022-08-01T23:00+00:00,33.2,7.5,6.39,1020,18,194.4,6,5.3
2022-08-01T18:15,2022-08-01T23:15+00:00,33.1,7.6,6.4,1020,18.25,154.4,8,6.1
2022-08-01T18:30,2022-08-01T23:30+00:00,33.2,7.7,6.33,1020,18.5,116.8,7,6.4
2022-08-01T18:45,2022-08-01T23:45+00:00,33.3,7.7,6.27,1020,18.75,89.8,6,6.5
2022-08-01T19:00,2022-08-02T00:00+00:00,33.1,7.6,6.09,1020,19,85.8,9,6.4
2022-08-01T19:15,2022-08-02T00:15+00:00,33.2,7.6,6.03,1020,19.25,74.5,9,6.5
2022-08-01T19:30,2022-08-02T00:30+00:00,33.2,7.6,6,1020,19.5,21.3,8,6.5
2022-08-01T19:45,2022-08-02T00:45+00:00,33.3,7.7,6.21,1020,19.75,3.9,7,6.6
2022-08-01T20:00,2022-08-02T01:00+00:00,33.2,7.7,6.16,1020,20,0.2,7,6.4
2022-08-01T20:15,2022-08-02T01:15+00:00,33.1,7.7,6.14,1020,20.25,0,7,6.3
2022-08-01T20:30,2022-08-02T01:30+00:00,33.1,7.6,6.12,1020,20.5,0,6,6.2
2022-08-01T20:45,2022-08-02T01:45+00:00,33,7.6,6.1,1020,20.75,0,7,6.1
2022-08-01T21:00,2022-08-02T02:00+00:00,33,7.6,6.14,1020,21,0,7,6.3
2022-08-01T21:15,2022-08-02T02:15+00:00,33,7.7,6.22,1020,21.25,0,7,6.3
2022-08-01T21:30,2022-08-02T02:30+00:00,33,7.6,6.24,1020,21.5,0,8,6.2
2022-08-01T21:45,2022-08-02T02:45+00:00,33,7.5,6.26,1021,21.75,0,6,5.8
2022-08-01T22:00,2022-08-02T03:00+00:00,32.9,7.5,6.26,1021,22,0,6,5.8
2022-08-01T22:15,2022-08-02T03:15+00:00,32.8,7.4,6.22,1021,22.25,0,7,5.5
2022-08-01T22:30,2022-08-02T03:30+00:00,32.8,7.3,6.2,1020,22.5,0,6,5
2022-08-01T22:45,2022-08-02T03:45+00:00,32.8,7.3,6.13,1021,22.75,0,6,5
2022-08-01T23:00,2022-08-02T04:00+00:00,32.7,7.3,6.04,1021,23,0,9,5.5
2022-08-01T23:15,2022-08-02T04:15+00:00,32.7,7.3,6.02,1020,23.25,0,6,5.1
2022-08-01T23:30,2022-08-02T04:30+00:00,32.7,7.2,6,1020,23.5,0,5,4.7
2022-08-01T23:45,2022-08-02T04:45+00:00,32.8,7.1,5.97,1020,23.75,0,5,4.4
2022-08-02T00:00,2022-08-02T05:00+00:00,32.8,7.1,5.96,1020,0,0,5,4
2022-08-02T01:30,2022-08-02T06:30+00:00,32.7,7.2,6.03,1019,1.5,0,7,5.3
2022-08-02T01:45,2022-08-02T06:45+00:00,32.6,7.2,6,1019,1.75,0,7,4.8
2022-08-02T02:00,2022-08-02T07:00+00:00,32.6,7.3,6.03,1019,2,0,7,5.3
2022-08-02T02:15,2022-08-02T07:15+00:00,32.6,7.2,6.02,1019,2.25,0,6,4.7
2022-08-02T02:30,2022-08-02T07:30+00:00,32.5,7.2,5.99,1019,2.5,0,7,4.7
2022-08-02T02:45,2022-08-02T07:45+00:00,32.3,7.3,6,1019,2.75,0,9,5.4
2022-08-02T03:00,2022-08-02T08:00+00:00,32.3,7.3,6.07,1019,3,0,7,5.3
2022-08-02T03:15,2022-08-02T08:15+00:00,32.3,7.3,6.15,1019,3.25,0,7,5.1
2022-08-02T03:30,2022-08-02T08:30+00:00,32.2,7.3,6.18,1019,3.5,0,6,5.1
2022-08-02T03:45,2022-08-02T08:45+00:00,32.2,7.4,6.21,1019,3.75,0,7,5.2
2022-08-02T04:00,2022-08-02T09:00+00:00,32.1,7.3,6.23,1019,4,0,8,4.9
2022-08-02T04:15,2022-08-02T09:15+00:00,32.1,7.4,6.25,1019,4.25,0,8,5.4
2022-08-02T04:30,2022-08-02T09:30+00:00,32.1,7.4,6.23,1019,4.5,0,7,5
2022-08-02T04:45,2022-08-02T09:45+00:00,32,7.4,6.22,1019,4.75,0,6,5
2022-08-02T05:00,2022-08-02T10:00+00:00,32,7.3,6.23,1019,5,0,6,4.5
2022-08-02T05:15,2022-08-02T10:15+00:00,32,7.3,6.23,1019,5.25,0,6,4.4
2022-08-02T05:30,2022-08-02T10:30+00:00,31.9,7.4,6.29,1019,5.5,0,7,5.1
2022-08-02T05:45,2022-08-02T10:45+00:00,31.9,7.4,6.31,1019,5.75,0.2,6,5.3
2022-08-02T06:00,2022-08-02T11:00+00:00,31.8,7.3,6.3,1020,6,4.5,6,4.5
2022-08-02T06:15,2022-08-02T11:15+00:00,31.8,7.3,6.3,1020,6.25,24.1,7,4.1
2022-08-02T06:30,2022-08-02T11:30+00:00,31.8,7.2,6.29,1020,6.5,70.8,6,3.6
2022-08-02T08:15,2022-08-02T13:15+00:00,31.8,7.1,6.23,1020,8.25,700.8,5,3.8
2022-08-02T08:30,2022-08-02T13:30+00:00,31.8,7.1,6.22,1020,8.5,799.2,5,3.2
2022-08-02T08:45,2022-08-02T13:45+00:00,31.7,7.2,6.21,1020,8.75,897.3,5,3.4
2022-08-02T09:00,2022-08-02T14:00+00:00,31.7,7.2,6.21,1020,9,993.6,5,4.4
2022-08-02T09:15,2022-08-02T14:15+00:00,31.6,7.2,6.14,1020,9.25,1081.7,6,4.3
2022-08-02T09:30,2022-08-02T14:30+00:00,31.6,7.2,6.13,1020,9.5,1176.1,5,3.8
2022-08-02T09:45,2022-08-02T14:45+00:00,31.6,7.1,6.09,1020,9.75,1280.1,4,3.7
2022-08-02T10:00,2022-08-02T15:00+00:00,31.7,7.1,6.07,1020,10,1350.8,4,3.2
2022-08-02T10:15,2022-08-02T15:15+00:00,31.8,7.2,6.14,1020,10.25,1458.4,5,4
2022-08-02T10:30,2022-08-02T15:30+00:00,31.9,7.2,6.19,1020,10.5,1582.8,6,4.2
2022-08-02T10:45,2022-08-02T15:45+00:00,31.9,7.2,6.21,1020,10.75,1776,5,4.1
2022-08-02T11:00,2022-08-02T16:00+00:00,32,7.2,6.23,1020,11,988.6,6,4.6
2022-08-02T11:15,2022-08-02T16:15+00:00,32.1,7.2,6.23,1020,11.25,1249.1,5,4.2
2022-08-02T11:30,2022-08-02T16:30+00:00,32,7.2,6.24,1019,11.5,940.5,8,4.3
2022-08-02T11:45,2022-08-02T16:45+00:00,32,7.2,6.24,1020,11.75,354.6,5,4
2022-08-02T12:00,2022-08-02T17:00+00:00,32.1,7.2,6.21,1020,12,144.2,15,4.2
2022-08-02T12:15,2022-08-02T17:15+00:00,32.2,7.2,6.11,1020,12.25,123.2,9,5
2022-08-02T12:30,2022-08-02T17:30+00:00,32.3,7.3,6.02,1020,12.5,152.1,9,5.5
2022-08-02T12:45,2022-08-02T17:45+00:00,32.3,7.3,6.01,1020,12.75,155.8,5,5
2022-08-02T13:00,2022-08-02T18:00+00:00,32.4,7.2,5.98,1019,13,234.9,5,4.7
2022-08-02T13:15,2022-08-02T18:15+00:00,32.4,7.1,5.99,1019,13.25,360.4,5,4
2022-08-02T13:30,2022-08-02T18:30+00:00,32.4,7,6,1019,13.5,595.8,5,3.5
2022-08-02T13:45,2022-08-02T18:45+00:00,32.4,7,6,1019,13.75,999.6,5,3.4
2022-08-02T14:00,2022-08-02T19:00+00:00,32.4,7,5.99,1019,14,1181.7,5,2.9
2022-08-02T14:15,2022-08-02T19:15+00:00,32.4,7,5.98,1019,14.25,1876.3,5,2.6
2022-08-02T14:30,2022-08-02T19:30+00:00,32.3,7,5.94,1019,14.5,1945.2,6,3.6
2022-08-02T14:45,2022-08-02T19:45+00:00,32.3,7,5.95,1019,14.75,1090.8,5,3.6
2022-08-02T15:00,2022-08-02T20:00+00:00,32.2,7.2,6.02,1019,15,409.7,6,4.6
2022-08-02T15:15,2022-08-02T20:15+00:00,32.2,7.2,6.05,1019,15.25,351.2,5,4.8
2022-08-02T15:30,2022-08-02T20:30+00:00,32.2,7.2,6.06,1019,15.5,291.8,5,4.9
2022-08-02T15:45,2022-08-02T20:45+00:00,32.2,7.3,6.09,1019,15.75,100,5,5.2
2022-08-02T16:00,2022-08-02T21:00+00:00,32.1,7.4,6.1,1019,16,95,8,5.5
2022-08-02T16:15,2022-08-02T21:15+00:00,32,7.4,6.1,1019,16.25,145.3,9,5.5
2022-08-02T16:30,2022-08-02T21:30+00:00,32,7.3,6.11,1019,16.5,182.2,6,4.9
2022-08-02T16:45,2022-08-02T21:45+00:00,32,7.3,6.11,1019,16.75,211.8,5,4.5
2022-08-02T17:00,2022-08-02T22:00+00:00,32,7.3,6.12,1019,17,214.7,9,4.8
2022-08-02T17:15,2022-08-02T22:15+00:00,31.9,7.5,6.15,1018,17.25,192.9,9,5.8
2022-08-02T17:30,2022-08-02T22:30+00:00,31.9,7.5,6.18,1018,17.5,167.5,8,5.9
2022-08-02T17:45,2022-08-02T22:45+00:00,31.8,7.6,6.23,1018,17.75,145.3,8,5.9
2022-08-02T18:00,2022-08-02T23:00+00:00,31.8,7.6,6.3,1019,18,127.9,7,5.7
2022-08-02T18:15,2022-08-02T23:15+00:00,31.8,7.4,6.36,1018,18.25,120.1,5,5.1
2022-08-02T18:30,2022-08-02T23:30+00:00,31.8,7.3,6.37,1018,18.5,107.1,5,4.3
2022-08-02T18:45,2022-08-02T23:45+00:00,31.7,7.4,6.32,1018,18.75,88,6,5.1
2022-08-02T19:00,2022-08-03T00:00+00:00,31.7,7.4,6.3,1018,19,54,5,4.6
2022-08-02T19:15,2022-08-03T00:15+00:00,31.7,7.3,6.3,1018,19.25,32.9,4,4
2022-08-02T19:30,2022-08-03T00:30+00:00,31.7,7.3,6.26,1018,19.5,15.8,4,4.3
2022-08-02T19:45,2022-08-03T00:45+00:00,31.7,7.3,6.21,1018,19.75,2.8,6,4.7
2022-08-02T20:00,2022-08-03T01:00+00:00,31.6,7.3,6.18,1018,20,0.2,5,4.6
2022-08-02T20:15,2022-08-03T01:15+00:00,31.6,7.3,6.16,1018,20.25,0,5,4.4
2022-08-02T20:30,2022-08-03T01:30+00:00,31.6,7.3,6.13,1018,20.5,0,6,4.8
2022-08-02T20:45,2022-08-03T01:45+00:00,31.5,7.4,6.12,1018,20.75,0,9,5.7
2022-08-02T21:00,2022-08-03T02:00+00:00,31.5,7.4,6.12,1018,21,0,7,5.6
2022-08-02T21:15,2022-08-03T02:15+00:00,31.5,7.3,6.09,1018,21.25,0,6,5.2
2022-08-02T21:30,2022-08-03T02:30+00:00,31.4,7.3,6.05,1018,21.5,0,7,5.4
2022-08-02T21:45,2022-08-03T02:45+00:00,31.3,7.3,6.02,1018,21.75,0,9,5.3
2022-08-02T22:00,2022-08-03T03:00+00:00,31.3,7.3,5.96,1018,22,0,9,5.3
2022-08-02T22:15,2022-08-03T03:15+00:00,31.3,7.2,5.94,1017,22.25,0,6,4.9
2022-08-02T22:30,2022-08-03T03:30+00:00,31.3,7.2,5.92,1017,22.5,0,5,4.3
2022-08-02T22:45,2022-08-03T03:45+00:00,31.3,7.1,5.89,1017,22.75,0,5,4.1
2022-08-02T23:00,2022-08-03T04:00+00:00,31.3,7.1,5.86,1017,23,0,5,4
2022-08-02T23:15,2022-08-03T04:15+00:00,31.2,7.1,5.83,1017,23.25,0,5,3.8
2022-08-02T23:30,2022-08-03T04:30+00:00,31.2,7.2,5.77,1017,23.5,0,5,4.4
2022-08-02T23:45,2022-08-03T04:45+00:00,31.1,7.3,5.74,1017,23.75,0,7,5.2
2022-08-03T00:00,2022-08-03T05:00+00:00,31.1,7.2,5.77,1017,0,0,8,5.2
2022-08-03T00:15,2022-08-03T05:15+00:00,31.1,7.2,5.77,1017,0.25,0,6,4.6
2022-08-03T00:30,2022-08-03T05:30+00:00,31,7.1,5.78,1017,0.5,0,6,3.8
2022-08-03T00:45,2022-08-03T05:45+00:00,31,7.1,5.79,1017,0.75,0,6,3.5
2022-08-03T01:00,2022-08-03T06:00+00:00,31,7,5.79,1017,1,0,6,3.2
2022-08-03T01:15,2022-08-03T06:15+00:00,31,7,5.79,1017,1.25,0,6,2.9
2022-08-03T01:30,2022-08-03T06:30+00:00,30.9,7,5.79,1018,1.5,0,6,2.9
2022-08-03T01:45,2022-08-03T06:45+00:00,30.9,7,5.79,1017,1.75,0,6,3.4
2022-08-03T02:00,2022-08-03T07:00+00:00,30.9,7,5.78,1017,2,0,6,3.2
2022-08-03T02:15,2022-08-03T07:15+00:00,30.9,7,5.78,1017,2.25,0,5,2.8
2022-08-03T02:30,2022-08-03T07:30+00:00,30.9,7,5.74,1017,2.5,0,5,3.3
2022-08-03T02:45,2022-08-03T07:45+00:00,30.9,7,5.73,1017,2.75,0,6,3.1
2022-08-03T03:00,2022-08-03T08:00+00:00,30.8,7.1,5.7,1017,3,0,6,4
2022-08-03T03:15,2022-08-03T08:15+00:00,30.7,7.2,5.72,1017,3.25,0,7,5.2
2022-08-03T03:30,2022-08-03T08:30+00:00,30.7,7.3,5.8,1017,3.5,0,9,5.3
2022-08-03T03:45,2022-08-03T08:45+00:00,30.6,7.3,5.91,1016,3.75,0,10,5.2
2022-08-03T04:00,2022-08-03T09:00+00:00,30.6,7.2,5.98,1016,4,0,7,4.9
2022-08-03T04:15,2022-08-03T09:15+00:00,30.6,7.2,6.01,1016,4.25,0,8,4.9
2022-08-03T04:30,2022-08-03T09:30+00:00,30.6,7.2,6.01,1016,4.5,0,7,4.7
2022-08-03T04:45,2022-08-03T09:45+00:00,30.5,7.3,6.03,1016,4.75,0,9,4.7
2022-08-03T05:00,2022-08-03T10:00+00:00,30.5,7.3,6.04,1016,5,0,7,4.7
2022-08-03T05:15,2022-08-03T10:15+00:00,30.5,7.2,6.07,1016,5.25,0,7,4.6
2022-08-03T05:30,2022-08-03T10:30+00:00,30.5,7.3,6.1,1016,5.5,0,7,4.7
2022-08-03T05:45,2022-08-03T10:45+00:00,30.4,7.3,6.1,1016,5.75,0.1,7,4.6
2022-08-03T06:00,2022-08-03T11:00+00:00,30.4,7.2,6.17,1017,6,2.3,7,4.5
2022-08-03T06:15,2022-08-03T11:15+00:00,30.3,7.3,6.24,1017,6.25,14.3,6,4.4
2022-08-03T06:30,2022-08-03T11:30+00:00,30.3,7.4,6.39,1017,6.5,57.3,7,5.1
2022-08-03T06:45,2022-08-03T11:45+00:00,30.3,7.3,6.44,1017,6.75,104,7,4.7
2022-08-03T07:00,2022-08-03T12:00+00:00,30.2,7.4,6.7,1018,7,174.9,7,5
2022-08-03T07:15,2022-08-03T12:15+00:00,30.3,7.5,7.35,1018,7.25,249.5,6,5.1
2022-08-03T07:30,2022-08-03T12:30+00:00,30.3,7.5,7.98,1018,7.5,431.8,7,4.7
2022-08-03T07:45,2022-08-03T12:45+00:00,30.3,7.4,8.48,1018,7.75,510.4,7,4.3
2022-08-03T15:45,2022-08-03T20:45+00:00,31.5,7.5,7.47,1016,15.75,1434.1,16,5.4
2022-08-03T16:00,2022-08-03T21:00+00:00,31.7,7.7,7.09,1016,16,1316.3,8,6.3
2022-08-03T16:15,2022-08-03T21:15+00:00,31.4,7.5,8.07,1016,16.25,1227.7,13,5.3
2022-08-03T16:30,2022-08-03T21:30+00:00,31.3,7.4,8.42,1016,16.5,1059.4,11,3.9
2022-08-03T16:45,2022-08-03T21:45+00:00,31.4,7.3,8.25,1016,16.75,1035.1,12,3.3
2022-08-03T17:00,2022-08-03T22:00+00:00,31.4,7.2,8.16,1016,17,1036.7,15,3.2
2022-08-03T17:15,2022-08-03T22:15+00:00,31.6,7.3,7.99,1016,17.25,912.9,13,3.8
2022-08-03T17:30,2022-08-03T22:30+00:00,31.7,7.3,7.98,1016,17.5,790.2,15,3.4
2022-08-03T17:45,2022-08-03T22:45+00:00,31.8,7.3,7.84,1016,17.75,684.9,10,3.6
2022-08-03T18:00,2022-08-03T23:00+00:00,31.8,7.2,7.88,1016,18,571.7,11,3
2022-08-03T18:15,2022-08-03T23:15+00:00,31.8,7.2,7.9,1016,18.25,463,11,3.2
2022-08-03T18:30,2022-08-03T23:30+00:00,31.9,7.2,7.85,1016,18.5,351.3,9,3.4
2022-08-03T18:45,2022-08-03T23:45+00:00,32,7.4,7.76,1016,18.75,262.2,14,4.9
2022-08-03T19:00,2022-08-04T00:00+00:00,31.9,7.3,7.77,1016,19,168.9,11,4.3
2022-08-03T19:15,2022-08-04T00:15+00:00,31.8,7.2,7.87,1016,19.25,84.3,10,2.8
2022-08-03T19:30,2022-08-04T00:30+00:00,31.8,7.1,7.91,1016,19.5,21.4,7,1.9
2022-08-03T19:45,2022-08-04T00:45+00:00,31.8,7.1,7.88,1016,19.75,3.8,7,1.7
2022-08-03T20:00,2022-08-04T01:00+00:00,31.9,7.1,7.86,1016,20,0.2,6,1.8
2022-08-03T20:15,2022-08-04T01:15+00:00,31.9,7.2,7.81,1016,20.25,0,6,2.9
2022-08-03T20:30,2022-08-04T01:30+00:00,31.9,7.1,7.78,1017,20.5,0,7,2.7
2022-08-03T20:45,2022-08-04T01:45+00:00,32,7.2,7.76,1017,20.75,0,8,3.7
2022-08-03T21:00,2022-08-04T02:00+00:00,32,7.2,7.77,1017,21,0,7,3.4
2022-08-03T21:15,2022-08-04T02:15+00:00,32.1,7.3,7.64,1017,21.25,0,6,4.4
2022-08-03T21:30,2022-08-04T02:30+00:00,32,7.4,7.53,1018,21.5,0,5,5
2022-08-03T21:45,2022-08-04T02:45+00:00,31.9,7.4,7.39,1018,21.75,0,5,5.3
2022-08-03T22:00,2022-08-04T03:00+00:00,31.8,7.6,7.35,1018,22,0,6,6.1
2022-08-03T22:15,2022-08-04T03:15+00:00,31.8,7.7,7.39,1018,22.25,0,6,6.2
2022-08-03T22:30,2022-08-04T03:30+00:00,31.9,7.8,7.15,1018,22.5,0,6,6.5
2022-08-03T22:45,2022-08-04T03:45+00:00,31.8,7.6,6.62,1018,22.75,0,7,6.2
2022-08-03T23:00,2022-08-04T04:00+00:00,31.7,7.6,6.44,1018,23,0,7,6.1
2022-08-03T23:15,2022-08-04T04:15+00:00,31.6,7.5,5.77,1018,23.25,0,8,6.4
2022-08-03T23:30,2022-08-04T04:30+00:00,31.6,7.5,5.75,1018,23.5,0,7,6.2
2022-08-03T23:45,2022-08-04T04:45+00:00,31.6,7.4,5.74,1018,23.75,0,7,5.9
2022-08-04T00:00,2022-08-04T05:00+00:00,31.5,7.4,5.69,1018,0,0,8,5.6
2022-08-04T00:15,2022-08-04T05:15+00:00,31.5,7.3,5.7,1018,0.25,0,8,5.6
2022-08-04T00:30,2022-08-04T05:30+00:00,31.4,7.2,5.69,1017,0.5,0,9,5.3
2022-08-04T00:45,2022-08-04T05:45+00:00,31.7,7.5,7.74,1017,0.75,0,12,5.3
2022-08-04T01:00,2022-08-04T06:00+00:00,31.8,7.4,7.95,1017,1,0,8,5
2022-08-04T01:15,2022-08-04T06:15+00:00,31.8,7.4,7.99,1017,1.25,0,7,4.8
2022-08-04T01:30,2022-08-04T06:30+00:00,31.8,7.3,7.97,1017,1.5,0,6,4.3
2022-08-04T01:45,2022-08-04T06:45+00:00,31.8,7.3,7.91,1017,1.75,0,6,4.1
2022-08-04T02:00,2022-08-04T07:00+00:00,31.8,7.3,7.85,1017,2,0,6,4.3
2022-08-04T02:15,2022-08-04T07:15+00:00,31.8,7.4,7.87,1017,2.25,0,6,4.6
2022-08-04T02:30,2022-08-04T07:30+00:00,31.8,7.3,7.56,1017,2.5,0,8,4.5
2022-08-04T02:45,2022-08-04T07:45+00:00,31.7,7.6,7.58,1017,2.75,0,9,6
2022-08-04T03:00,2022-08-04T08:00+00:00,31.7,7.7,7.67,1017,3,0,9,6
2022-08-04T03:15,2022-08-04T08:15+00:00,31.7,7.7,8.07,1017,3.25,0,9,5.8
2022-08-04T03:30,2022-08-04T08:30+00:00,31.7,7.6,8.43,1017,3.5,0,10,5.5
2022-08-04T03:45,2022-08-04T08:45+00:00,31.7,7.4,9.32,1017,3.75,0,9,4.1
2022-08-04T04:00,2022-08-04T09:00+00:00,31.7,7.3,9.95,1017,4,0,9,3.7
2022-08-04T04:15,2022-08-04T09:15+00:00,31.7,7.3,10.24,1017,4.25,0,9,3.2
2022-08-04T04:30,2022-08-04T09:30+00:00,31.7,7.2,10.24,1017,4.5,0,8,2.8
2022-08-04T04:45,2022-08-04T09:45+00:00,31.8,7.2,10.33,1017,4.75,0,8,2.8
2022-08-04T05:00,2022-08-04T10:00+00:00,31.8,7.3,10.65,1017,5,0,8,3.1
2022-08-04T05:15,2022-08-04T10:15+00:00,31.8,7.3,10.74,1017,5.25,0,9,2.9
2022-08-04T05:30,2022-08-04T10:30+00:00,31.8,7.2,10.6,1017,5.5,0,7,2.6
2022-08-04T05:45,2022-08-04T10:45+00:00,31.9,7.4,10.44,1017,5.75,0.2,11,3.6
2022-08-04T06:00,2022-08-04T11:00+00:00,31.9,7.5,10.89,1017,6,4.1,9,4
2022-08-04T06:15,2022-08-04T11:15+00:00,31.9,7.4,11.09,1017,6.25,22.2,9,3.8
2022-08-04T06:30,2022-08-04T11:30+00:00,31.9,7.4,11.31,1017,6.5,63.2,8,3.8
2022-08-04T06:45,2022-08-04T11:45+00:00,31.9,7.4,11.54,1017,6.75,137.7,9,3.8
2022-08-04T07:00,2022-08-04T12:00+00:00,31.9,7.5,11.75,1017,7,213.3,9,3.9
2022-08-04T07:15,2022-08-04T12:15+00:00,31.9,7.5,11.78,1017,7.25,295.9,10,4.1
2022-08-04T07:30,2022-08-04T12:30+00:00,31.9,7.6,11.89,1017,7.5,368.8,10,4.6
2022-08-04T07:45,2022-08-04T12:45+00:00,31.9,7.6,11.96,1017,7.75,470.3,9,4.5
2022-08-04T08:00,2022-08-04T13:00+00:00,31.9,7.6,11.94,1018,8,581.7,8,4.2
2022-08-04T09:45,2022-08-04T14:45+00:00,31.8,7.4,11.06,1019,9.75,1330.5,7,4
2022-08-04T10:00,2022-08-04T15:00+00:00,31.7,7.5,10.57,1019,10,1117,6,4.1
